eventDate,lifeStage,sex,organismQuantity,organismQuantityType
1972,adult,males,-999,individuals
1972,adult,females,-999,individuals
1972,three years old,males,-999,individuals
1972,three years old,females,-999,individuals
1972,two years old,males,-999,individuals
1972,two years old,females,-999,individuals
1972,yearlings,unknown,0,individuals
1972,calves,unknown,6,individuals
1972,unknown,unknown,-999,individuals
1973,adult,males,-999,individuals
1973,adult,females,-999,individuals
1973,three years old,males,-999,individuals
1973,three years old,females,-999,individuals
1973,two years old,males,-999,individuals
1973,two years old,females,-999,individuals
1973,yearlings,unknown,5,individuals
1973,calves,unknown,4,individuals
1973,unknown,unknown,-999,individuals
1974,adult,males,-999,individuals
1974,adult,females,-999,individuals
1974,three years old,males,-999,individuals
1974,three years old,females,-999,individuals
1974,two years old,males,-999,individuals
1974,two years old,females,-999,individuals
1974,yearlings,unknown,2,individuals
1974,calves,unknown,13,individuals
1974,unknown,unknown,-999,individuals
1975,adult,males,-999,individuals
1975,adult,females,-999,individuals
1975,three years old,males,-999,individuals
1975,three years old,females,-999,individuals
1975,two years old,males,-999,individuals
1975,two years old,females,-999,individuals
1975,yearlings,unknown,-999,individuals
1975,calves,unknown,-999,individuals
1975,unknown,unknown,-999,individuals
1976,adult,males,-999,individuals
1976,adult,females,-999,individuals
1976,three years old,males,-999,individuals
1976,three years old,females,-999,individuals
1976,two years old,males,-999,individuals
1976,two years old,females,-999,individuals
1976,yearlings,unknown,-999,individuals
1976,calves,unknown,-999,individuals
1976,unknown,unknown,-999,individuals
1977,adult,males,-999,individuals
1977,adult,females,-999,individuals
1977,three years old,males,-999,individuals
1977,three years old,females,-999,individuals
1977,two years old,males,-999,individuals
1977,two years old,females,-999,individuals
1977,yearlings,unknown,-999,individuals
1977,calves,unknown,-999,individuals
1977,unknown,unknown,-999,individuals
1978,adult,males,-999,individuals
1978,adult,females,-999,individuals
1978,three years old,males,-999,individuals
1978,three years old,females,-999,individuals
1978,two years old,males,-999,individuals
1978,two years old,females,-999,individuals
1978,yearlings,unknown,-999,individuals
1978,calves,unknown,-999,individuals
1978,unknown,unknown,-999,individuals
1979,adult,males,-999,individuals
1979,adult,females,-999,individuals
1979,three years old,males,-999,individuals
1979,three years old,females,-999,individuals
1979,two years old,males,-999,individuals
1979,two years old,females,-999,individuals
1979,yearlings,unknown,-999,individuals
1979,calves,unknown,-999,individuals
